"","id","p1","p1freq","p2","p2freq","p3","p3freq","p4","p4freq","p5","p5freq","p6","p6freq","p7","p7freq","p8","p8freq","p9","p9freq","p10","p10freq","p11","p11freq","p12","p12freq","p13","p13freq","p14","p14freq","p15","p15freq","p16","p16freq","p17","p17freq","p18","p18freq","p19","p19freq"
"62",62,"schody nad wisłą","Kilka razy w roku","nie mam","Raz w roku lub rzadziej","nie mam","Raz w roku lub rzadziej","park","Kilka razy w miesiącu","nie mam","Raz w roku lub rzadziej","nie mam","Raz w roku lub rzadziej","nie mam","Raz w roku lub rzadziej","nie mam","Raz w roku lub rzadziej","nie mam","Raz w roku lub rzadziej","","","","","","","","","","","","","","","","","","","",""
"63",63,"Starówka","Kilka razy w roku","Wola Park","Kilka razy w miesiącu","Arkadia","Kilka razy w roku","park moczydło","Kilka razy w miesiącu","","","","","hula kula","Kilka razy w roku","","","","","hala sportowa Redutowa","Przynajmniej kilka razy w tygodniu","Wola Park","Kilka razy w miesiącu","","","","","","","","","","","","","","","",""
"64",64,"plener","Przynajmniej kilka razy w tygodniu","pub","Kilka razy w miesiącu","","","las","Przynajmniej kilka razy w tygodniu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65",65,"Kawiarnie na ul. Francuskiej","Kilka razy w miesiącu","Kawiarnie w centrum miasta","Kilka razy w roku","","","Park Skaryszewski","Przynajmniej kilka razy w tygodniu","Bulwary nad Wisłą","Kilka razy w miesiącu","Ścieżki rowerowe Warszawy","Kilka razy w miesiącu","Kawiarnie na Francukiej","Kilka razy w roku","","","","","Park Skaryszewski","Przynajmniej kilka razy w tygodniu","Ścieżki rowerowe","Kilka razy w miesiącu","Stare Miasto","Kilka razy w roku","Bulwary nad Wisłą","Kilka razy w roku","Klub Kultury Saska Kępa","Kilka razy w roku","Teatr Nowy","Kilka razy w roku","Teatr Komedia","Raz w roku lub rzadziej","Ateneum","Raz w roku lub rzadziej","Pałac Ujazdowski","Raz w roku lub rzadziej","Galerie Sztuki","Kilka razy w roku"
"66",66,"Złote tarasy ","Kilka razy w miesiącu","lewa/prawa strona Wisły ","Kilka razy w miesiącu","Stare Miasto ","Kilka razy w miesiącu","Las Bródowski ","Kilka razy w roku","Park Bródnowski ","Kilka razy w roku","Park Młociny ","Kilka razy w miesiącu","Bar Aloha (na Tarchominie)","Kilka razy w miesiącu","","","","","Arkadia ","Kilka razy w roku","decathlon ","Kilka razy w miesiącu","","","","","","","","","","","","","","","",""
"67",67,"Bar studio","Kilka razy w miesiącu","Beirut","Kilka razy w miesiącu","Resort","Kilka razy w miesiącu","","","","","","","Kurort","Kilka razy w roku","","","","","","","","","","","","","","","","","","","","","","","",""
"68",68,"Galeria Mokotów","Kilka razy w miesiącu","Siwy dym restauracja, puławska","Kilka razy w roku","Urynów, Knajpka Kulinarny Bzik, ul.Lanciego, Ursynów","Kilka razy w miesiącu","Lodowisko koło metra Imielin, Ursynów","Kilka razy w roku","siłownia calipso puławska 17","Kilka razy w roku","","","starlight, kolo metra Imielin","Kilka razy w roku","zakąski przekąski, aleje jerozolimskie","Kilka razy w roku","","","arkadia","Kilka razy w roku","Polka-restauracja magdy gessler","Kilka razy w roku","","","","","","","","","","","","","","","",""
"69",69,"Pawilony na Nowym Świecie","Kilka razy w miesiącu","Aioli","Kilka razy w roku","Galerie Handlowe","Kilka razy w miesiącu","Pola Mokotowskie","Kilka razy w roku","Powsin","Kilka razy w roku","Siłownia","Przynajmniej kilka razy w tygodniu","Enklawa","Kilka razy w roku","The Eve","","jeffs","Kilka razy w roku","","","","","","","","","","","","","","","","","","","",""
"70",70,"temat rzeka","Kilka razy w miesiącu","nowe miasto","Kilka razy w miesiącu","pole mokotowskie","Kilka razy w miesiącu","pole mokotowskie","Kilka razy w miesiącu","park saski","Kilka razy w miesiącu","","","pijalnia wódki i piwa","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","","","","","","","",""
"71",71,"moje mieszkanie","Kilka razy w miesiącu","mieszkania znajomych","Kilka razy w roku","","","Anin Sadul","Przynajmniej kilka razy w tygodniu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72",72,"Kufle i Kapsle","Kilka razy w miesiącu","Pewnego Razu Cafe","Kilka razy w miesiącu","Skwer","Kilka razy w miesiącu","Bulwary Wiślane","Kilka razy w roku","Park Skaryszewski","Kilka razy w roku","Ogród Krasińskich","Kilka razy w roku","Kufle i Kapsle","Przynajmniej kilka razy w tygodniu","Sen Pszczoły","Kilka razy w roku","","","Krakowskie Przedmieście","Kilka razy w miesiącu","Kino Muranów","Kilka razy w roku","Państwo Miasto","Kilka razy w roku","Pizzeria Nowolipki","Kilka razy w roku","Och Teatr","Kilka razy w roku","","","","","","","","","",""
"73",73,"Kufle i Kapsle","Kilka razy w miesiącu","Hostel Wilson","Kilka razy w roku","Znajomi Znajomych","Kilka razy w roku","Park Żeromskiego","Kilka razy w miesiącu","Blue City Squash","Kilka razy w roku","","","Syreni Śpiew","Kilka razy w miesiącu","Na lato","Kilka razy w miesiącu","Pomost 511","Kilka razy w miesiącu","Pardon to Tu","Kilka razy w roku","Arkadia","Kilka razy w miesiącu","Złote Tarasy","Kilka razy w roku","","","","","","","","","","","","","",""
"74",74,"Nowy Świat","Przynajmniej kilka razy w tygodniu","Arkadia","Kilka razy w miesiącu","Stare Miasto","Przynajmniej kilka razy w tygodniu","","","","","","","","","","","","","Podzamcze","Kilka razy w miesiącu","Krakowskie Przedmieście","Przynajmniej kilka razy w tygodniu","","","","","","","","","","","","","","","",""
"75",75,"pole mokotowskie","Kilka razy w miesiącu","kawiarnia relaks","Kilka razy w miesiącu","bulwery nad wisla","Kilka razy w roku","awf","Przynajmniej kilka razy w tygodniu","pole mokotowskie","Kilka razy w miesiącu","mokotowskie orliki","Kilka razy w miesiącu","nadwislanskie miejsca","Kilka razy w miesiącu","cuda na kiju","Kilka razy w roku","latawiec","Kilka razy w roku","park morskie oko","Przynajmniej kilka razy w tygodniu","las kabacki","Kilka razy w miesiącu","","","","","","","","","","","","","","","",""
"76",76,"Ogród Saski","Kilka razy w roku","","","","","Siłownia Calypso","Raz w roku lub rzadziej","","","","","","","","","","","BUW","Kilka razy w miesiącu","Biblioteka WUM","Kilka razy w miesiącu","","","","","","","","","","","","","","","",""
"77",77,"kafe tygrys","Kilka razy w miesiącu","au lac","Kilka razy w roku","loving hut","Kilka razy w roku","las bielanski","Kilka razy w miesiącu","scianka wspinaczkowa na banacha","Kilka razy w roku","bulwary nad wisla","Kilka razy w roku","plan b","Kilka razy w roku","niedorzeczni i 1500","Kilka razy w roku","","","metro warszawskie","Przynajmniej kilka razy w tygodniu","buw","Kilka razy w miesiącu","kino luna","Kilka razy w roku","kino muranow","Kilka razy w roku","","","","","","","","","","","",""
"78",78,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79",79,"Srodmiescie / róg poznańska i wilcza","Przynajmniej kilka razy w tygodniu","Płac zbawiciela","Kilka razy w miesiącu","Wisła ","Przynajmniej kilka razy w tygodniu","Pola mokotowskie","Kilka razy w roku","Temat rzeka ","Kilka razy w miesiącu","","","Mazowiecka","Kilka razy w miesiącu","Parkingowa","Kilka razy w miesiącu","Pl. Zbawiciela","Kilka razy w miesiącu","Buw","Kilka razy w miesiącu","Francuska na saskiej","Kilka razy w roku","","","","","","","","","","","","","","","",""
"80",80,"bułka i spółka","Kilka razy w roku","Leniviec","Kilka razy w roku","Costa coffee","Kilka razy w roku","park Dreszera","Kilka razy w miesiącu","las Kabacki","","","","plan B","Kilka razy w miesiącu","plac Zabaw","Kilka razy w roku","Cud nad Wisłą","Kilka razy w roku","Galeria Mokotów","Kilka razy w roku","kino Luna","Kilka razy w roku","Kinoteka","Kilka razy w roku","Cinema City","Kilka razy w roku","Teatr Powszechny","Kilka razy w roku","","","","","","","","","",""
"81",81,"Kawiarnia Kafka","Kilka razy w miesiącu","Charlotte","Kilka razy w miesiącu","Arkadia","Przynajmniej kilka razy w tygodniu","Klub Forest Fitness","Kilka razy w miesiącu","Las Młociński","Kilka razy w roku","Pole Mokotowskie","Kilka razy w roku","Grawitacja","Kilka razy w roku","Bar The Picutres","Raz w roku lub rzadziej","Klub 70","Raz w roku lub rzadziej","Kino Atlantic Chmielna","Kilka razy w roku","Park Skaryszewski","Kilka razy w roku","Ulica Francuska","Kilka razy w roku","Krakowskie Przedmieście","Kilka razy w miesiącu","Ogrody BUW","Kilka razy w roku","Łazienki","Kilka razy w roku","Królikarnia","Raz w roku lub rzadziej","Złote Tarasy","Przynajmniej kilka razy w tygodniu","","","",""
"82",82,"cafe kaffka","Kilka razy w miesiącu","gniazdo piratow","Kilka razy w roku","manekin","Kilka razy w miesiącu","park szczesliwicki","Kilka razy w miesiącu","stare miasto","Kilka razy w miesiącu","","","cafe lemon","Kilka razy w roku","hula kula","Kilka razy w roku","barometr","Raz w roku lub rzadziej","pink flamingo","Kilka razy w roku","zapiecek","Kilka razy w roku","mono bar","Raz w roku lub rzadziej","izumi sushi","Kilka razy w roku","chwila da klub","Kilka razy w roku","la cantina","Kilka razy w roku","tygmont","Kilka razy w roku","pizza hut","Kilka razy w roku","ogrody buw","Kilka razy w roku","tor kartingowy na ul modularnej","Kilka razy w roku"
"83",83,"Brzeg Wisły","Kilka razy w roku","Pawilony","Kilka razy w roku","","","Pole Mokotowskie","Raz w roku lub rzadziej","","","","","Pawilony","Raz w roku lub rzadziej","","","","","","","","","","","","","","","","","","","","","","","",""
"84",84,"Stare Miasto","Kilka razy w roku","Łazienki","Kilka razy w roku","Arkadia","Kilka razy w miesiącu","Park Sady Żoliborskie","Kilka razy w miesiącu","","","","","Krowarzywa","Kilka razy w roku","","","","","Złote Tarasy","Kilka razy w roku","Krakowskie Przedmieście","Kilka razy w roku","Cinema City","Kilka razy w roku","","","","","","","","","","","","","",""
"85",85,"państwomiasto","Kilka razy w roku","temat rzeka","Kilka razy w roku","bulwar flotylli wiślanej","Kilka razy w roku","brzegi wisły","Przynajmniej kilka razy w tygodniu","","","","","bulwar flotylli wiślanej","Kilka razy w roku","okolice mostu poniatowskiego (prawy brzeg)","Kilka razy w roku","","","","","","","","","","","","","","","","","","","","","",""
"86",86,"Pub Resort ","Kilka razy w miesiącu","Coffee Heaven","Kilka razy w miesiącu","British Bulldog Pub","Kilka razy w miesiącu","Łazienki Królewskie","Kilka razy w roku","Ogród Saski","Kilka razy w roku","Plac Grzybowski","Kilka razy w roku","British Bulldog Pub","Kilka razy w miesiącu","Pub Resort","Kilka razy w miesiącu","Bobby Burger","Kilka razy w roku","","","","","","","","","","","","","","","","","","","",""
"87",87,"Bierhalle w Arkadii","Kilka razy w roku","temat rzeka","Kilka razy w roku","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88",88,"Vincent cafe","Kilka razy w roku","vega","Kilka razy w roku","","","Fnf dance studio","Przynajmniej kilka razy w tygodniu","ścieżki rowerowe ursynów","Przynajmniej kilka razy w tygodniu","","","fresh","Raz w roku lub rzadziej","odessa","Raz w roku lub rzadziej","","","kino luna","Kilka razy w miesiącu","multikino ursynów","Kilka razy w roku","kino femina","Kilka razy w roku","kino atlantic","Kilka razy w roku","egurrola dance studio","Kilka razy w roku","ch arkadia","Kilka razy w miesiącu","ch złote tarasy","Kilka razy w miesiącu","ch blue city","Kilka razy w miesiącu","buw","Kilka razy w miesiącu","tor służewiec","Raz w roku lub rzadziej"
"89",89,"garaż","Przynajmniej kilka razy w tygodniu","","Kilka razy w roku","","","crux","Przynajmniej kilka razy w tygodniu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90",90,"centrum","Kilka razy w miesiącu","","","","","fotr bema","Przynajmniej kilka razy w tygodniu","","","","","","","","","","","nowe miasto","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","",""
"91",91,"Starbucks","Kilka razy w roku","plac konstytucji","Kilka razy w roku","Arkadia","Kilka razy w miesiącu","Park Kępa Potocka","Kilka razy w roku","","","","","Pies czy Suka","Kilka razy w roku","Pod mostem lub coś na Powiślu","Kilka razy w roku","Grawitacja","Raz w roku lub rzadziej","ZŁote Tarasy","Kilka razy w roku","Empik rozne lokalizacje","Kilka razy w miesiącu","Coffee Heaven rozne lokazlizacje","Kilka razy w roku","","","","","","","","","","","","","",""
"92",92,"różne kawiarnie na starej ochocie - Filtry, akademicka, cafe Kolonia","Kilka razy w roku","","","","","park szczęśliwicki ","Kilka razy w miesiącu","","","","","","","","","","","park marii curie-skłodowskiej ","Kilka razy w miesiącu","Pole Mokotowskie","Kilka razy w miesiącu","","","","","","","","","","","","","","","",""
"93",93,"Pole Mokotowskie","Kilka razy w miesiącu","ul. Nowy Świat","Kilka razy w miesiącu","Plac Zbawiciela","Kilka razy w roku","Osiedle Las w Wawrze","Przynajmniej kilka razy w tygodniu","","","","","Plaża nad Wisłą po stronie praskiej","Kilka razy w roku","Plan B","Kilka razy w roku","","","Dwóch Takich ","Kilka razy w roku","Państwo Miasto","Kilka razy w roku","Klubokawiarnia Towarzyska","Kilka razy w miesiącu","","","","","","","","","","","","","",""
"94",94,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95",95,"Starówka","Kilka razy w roku","Złote Tarasy","Kilka razy w roku","Arkadia","Kilka razy w roku","Las Kabacki","Kilka razy w roku","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96",96,"loving hut","Kilka razy w roku","vegemiasto","Kilka razy w roku","koza cafe","Kilka razy w roku","park niopodal","Przynajmniej kilka razy w tygodniu","siłownia na powietrzu","Kilka razy w miesiącu","basen","Kilka razy w roku","klub","Kilka razy w roku","drugi klub","Kilka razy w roku","","","soacery po okolicy","Przynajmniej kilka razy w tygodniu","","","","","","","","","","","","","","","","","",""
"97",97,"Pausa Włoska ul. Ząbkowska","Kilka razy w miesiącu","Il Caminetto","Kilka razy w roku","Między nami","Kilka razy w miesiącu","Park Skaryszewski","Przynajmniej kilka razy w tygodniu","Park Saski","Kilka razy w miesiącu","Łazienki","Kilka razy w roku","Cafe Szparka","Kilka razy w roku","","","","","Teatr Polonia","Raz w roku lub rzadziej","Teatr Wielki","Kilka razy w roku","Stalowa 52","Kilka razy w roku","Skład Butelek","Kilka razy w roku","Baccio","Kilka razy w roku","Plaże nad Wisłą","Kilka razy w roku","Hula Kula","Kilka razy w roku","Lolek","Kilka razy w roku","Park Polińskiego","Kilka razy w roku","",""
"98",98,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99",99,"mój dom","Przynajmniej kilka razy w tygodniu","","","","","","","","","","","","","","","","","mój dom","Przynajmniej kilka razy w tygodniu","Stacja Falenica","Kilka razy w roku","","","","","","","","","","","","","","","",""
"100",100,"green pub, bemowo","Kilka razy w miesiącu","park Górczewska ","Kilka razy w miesiącu","wars&sawa","Kilka razy w roku","park Górczewska ","Kilka razy w miesiącu","park kultury w Powsinie","Raz w roku lub rzadziej","pole Mokotowskie ","Kilka razy w roku","green pub, bemowo","Kilka razy w miesiącu","pawilony, centrum","Kilka razy w roku","cafe fajka","Kilka razy w roku","wola park","Kilka razy w miesiącu","Kampinos ","Kilka razy w roku","stare miasto","Kilka razy w roku","cinema city bemowo","Kilka razy w roku","my o my (kawiarnia, centrum)","Kilka razy w roku","fonte, wola","Kilka razy w roku","","","","","","","",""
"101",101,"Kafefajka na Oboźnej","Kilka razy w roku","Cafe Antykwariat na Żurawiej","Raz w roku lub rzadziej","Cafe Szpulka przy Placu Trzech Krzyży","Kilka razy w roku","Pole Mokotowskie","Kilka razy w roku","Bulwar nad Wisłą","Kilka razy w roku","","","BarKa (przy skwerze im. Taduesza Kahla)","Kilka razy w roku","Peweks (jeden z Pawilonów przy Nowym Świecie)","Kilka razy w roku","Klubokawiarnia Grawitacja","Kilka razy w roku","Centrum Sztuku Współczesnej","Kilka razy w roku","Klub Stodoła","Kilka razy w roku","Galeria Mokotów","Kilka razy w roku","Kino Muranów","Kilka razy w roku","Costa Coffee ul. Krakowskie Przedmieście ","","Hydrozagadka ul. 11 Listopada","Kilka razy w roku","Plan B","Raz w roku lub rzadziej","Łazienki Królewskie","Raz w roku lub rzadziej","Śródmieście Południowe (spacerem) ","Kilka razy w miesiącu","Królikarnia","Raz w roku lub rzadziej"
"102",102,"Grawitacja","Kilka razy w miesiącu","Chwila da klub","Kilka razy w miesiącu","Wisła :) ","Przynajmniej kilka razy w tygodniu","Łazienki","Kilka razy w miesiącu","Park ""Morskie oko"" ","Przynajmniej kilka razy w tygodniu","Park Królikarnia","Przynajmniej kilka razy w tygodniu","Hula Kula","Kilka razy w miesiącu","Indecks","Kilka razy w roku","Grawitacja","Kilka razy w miesiącu","Stare Miasto","Kilka razy w miesiącu","Muzeum Powstania Warszawskiego","Kilka razy w roku","Centrum Nauki Kopernik","Kilka razy w miesiącu","Powiśle","Przynajmniej kilka razy w tygodniu","Galeria Mokotów","Przynajmniej kilka razy w tygodniu","Arkadia","Kilka razy w miesiącu","","","","","","","",""
"103",103,"centrum zarządzania światem","Kilka razy w roku","leniviec","Kilka razy w roku","bar wegetariański przy krakowskim przedmieściu","Kilka razy w roku","Łazinki","Kilka razy w miesiącu","Park Skaryszewski","Kilka razy w roku","Bulwary Wiślane","Kilka razy w roku","","","","","","","Kino Luna","Kilka razy w miesiącu","Park na Sadybie","Kilka razy w miesiącu","Park za Harendą","Kilka razy w miesiącu","Saska Kępa ","Przynajmniej kilka razy w tygodniu","","","","","","","","","","","",""
"104",104,"Cafe Filtry (Niemcewicza)","Przynajmniej kilka razy w tygodniu","BekeF","Kilka razy w miesiącu","W Gruncie Rzeczy","Kilka razy w miesiącu","Pole Mokotowskie","Kilka razy w miesiącu","","","","","Beirut","Kilka razy w roku","Przychodnia Skłot","Kilka razy w roku","","","","","","","","","","","","","","","","","","","","","",""
"105",105,"Chwila da Klub","Kilka razy w roku","Tutu Music Bar","Kilka razy w miesiącu","","","Pola Mokotowskie","Kilka razy w miesiącu","Kopa Cwila","Przynajmniej kilka razy w tygodniu","","","Tutu Music Bar","Przynajmniej kilka razy w tygodniu","Chwila da Klub","Kilka razy w roku","","","Kino Muranów","Kilka razy w miesiącu","TR","Kilka razy w roku","Zachęta","Kilka razy w roku","Bar Studio","Kilka razy w roku","U Pana Michała","Kilka razy w roku","","","","","","","","","",""
"106",106,"Państwomiasto","Raz w roku lub rzadziej","Pola Mokotowskie","Kilka razy w roku","ogród pod Wydziałem Psychologii","Przynajmniej kilka razy w tygodniu","Pola Mokotowskie","Kilka razy w roku","Mauzoleum Żołnieży Radzieckich","Kilka razy w roku","Łazienki Królewskie","Kilka razy w roku","Pardon, To Tu","Raz w roku lub rzadziej","","","","","Plac Defilad","Kilka razy w roku","Park Achera","Kilka razy w roku","Plac Zamkowy","Kilka razy w roku","Ogród Saski","Kilka razy w roku","","Kilka razy w miesiącu","","","","","","","","","",""
"107",107,"Pole Mokotowskie","Przynajmniej kilka razy w tygodniu","","Przynajmniej kilka razy w tygodniu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"108",108,"Złote Tarasy","Kilka razy w miesiącu","U koleżanki","Kilka razy w miesiącu","Centrum","Kilka razy w roku","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"109",109,"okolice traktu królewskiego","Przynajmniej kilka razy w tygodniu","bulwary wiślane","Kilka razy w miesiącu","francuska","Kilka razy w roku","park przy garwolińskiej","Kilka razy w miesiącu","bulwary nadwiślańskie","Kilka razy w roku","mazowiecki park krajobrazowy","Kilka razy w roku","pawilony na tyłach nowego światu","Kilka razy w roku","państwomiasto","Kilka razy w roku","","","uniwersytet warszawski","Kilka razy w miesiącu","nowy buw","Kilka razy w roku","park skaryszewski","Kilka razy w roku","","","","","","","","","","","","","",""
"110",110,"Berlin-Warszawa","Kilka razy w miesiącu","Au Lac","Kilka razy w miesiącu","Emerald's Pub","Kilka razy w miesiącu","Osir Rozbrat","Kilka razy w roku","Plaża przy Stadionie Narodowym","Kilka razy w miesiącu","Parki na Powiślu","Przynajmniej kilka razy w tygodniu","Pub Harenda","Kilka razy w roku","Berlin-Warszawa","Kilka razy w miesiącu","Kufle i kapsle","Kilka razy w roku","Oto-sushi","Kilka razy w roku","Cafe Nero","Kilka razy w miesiącu","Heritage","Kilka razy w miesiącu","Kawiarnia Wedla","Kilka razy w miesiącu","Babooshka","Kilka razy w miesiącu","Park Łazienkowski","Kilka razy w miesiącu","ZOO Warszawskie","Raz w roku lub rzadziej","Muzeum Narodowe","Kilka razy w roku","Kino Atlantic","Kilka razy w roku","Sushi Bar DON","Kilka razy w roku"
"111",111,"Pawilony","Kilka razy w miesiącu","Domy znajomych","Kilka razy w miesiącu","","","droga do pracy","Przynajmniej kilka razy w tygodniu","park","Kilka razy w miesiącu","","","Pawilony","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","","","","","","","",""
"112",112,"Pardon to tu","Kilka razy w roku","Resort","Kilka razy w roku","Barka","Kilka razy w roku","Pole Mokotowskie","Kilka razy w roku","Temat Rzeka","Kilka razy w roku","","","Bar Studio","Kilka razy w roku","Głębokie Gardło","Kilka razy w roku","","","Zielony Dach BUWu","Kilka razy w roku","Nowy Świat/ Krakowskie Przedmieście","Kilka razy w miesiącu","","","","","","","","","","","","","","","",""
"113",113,"Stare Miasto","Kilka razy w miesiącu","Łazienki Królewskie","Kilka razy w miesiącu","Wisła","Kilka razy w miesiącu","Kępa Potocka","Kilka razy w miesiącu","Pola Mokotowskie","Kilka razy w miesiącu","Wisła","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114",114,"Cafe Iluzjon","Kilka razy w roku","Krakowskie Przedmieście","Kilka razy w miesiącu","Pola Mokotowskie","Kilka razy w miesiącu","Pola Mokotowskie","Kilka razy w miesiącu","","","","","","","","","","","Biblioteka UW","Kilka razy w roku","Dolina Szwajcarska","Kilka razy w roku","Łazienki Królewskie","Kilka razy w roku","Złote Tarasy","Kilka razy w miesiącu","Kampus Główny UW","Kilka razy w miesiącu","Nowy Świat I Chmielna","Kilka razy w miesiącu","","","","","","","",""
"115",115,"Cuda na Kiju","Kilka razy w roku","Pawilony","Kilka razy w roku","Park Szczęśliwicki","Kilka razy w roku","Pole Mokotowskie","Kilka razy w roku","Park Szczęśliwicki","Kilka razy w roku","","","","","","","","","Tsuri Sushi","Kilka razy w roku","","Kilka razy w roku","","","","","","","","","","","","","","","",""
"116",116,"berlin-warszawa pub","Kilka razy w miesiącu","Emerald pub","Kilka razy w roku","Łazienki Królewskie","Kilka razy w roku","Kępa Potocka","Przynajmniej kilka razy w tygodniu","Plaża nad Wisłą","Kilka razy w roku","Bulwary Wiślane","Kilka razy w roku","Harenda","Raz w roku lub rzadziej","Przechyły","Raz w roku lub rzadziej","Univer pub","Raz w roku lub rzadziej","Park Skaryszewski","Raz w roku lub rzadziej","Krakowskie Przedmieście","Kilka razy w miesiącu","Uniwersytet Warszawski","Kilka razy w roku","","","","","","","","","","","","","",""
"117",117,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"118",118,"Pawilony","Kilka razy w miesiącu","MiTo","Kilka razy w roku","Temat Rzeka","Kilka razy w roku","Warszawianka","Raz w roku lub rzadziej","Pola Mokotowskie","Raz w roku lub rzadziej","","","Platinium","Kilka razy w roku","Pawilony","Kilka razy w miesiącu","Pijalnia wodki i piwa","Kilka razy w roku","","","","","","","","","","","","","","","","","","","",""
"119",119,"bar warszawa","Kilka razy w roku","irish pub","Kilka razy w roku","kinoteka","Kilka razy w miesiącu","kabaty dance klub","Przynajmniej kilka razy w tygodniu","puella","Kilka razy w miesiącu","steps for salsa","Kilka razy w miesiącu","","","","","","","kinoteka","Kilka razy w miesiącu","atlantic","Kilka razy w roku","łazienki","Kilka razy w roku","stare miasto","Kilka razy w roku","","","","","","","","","","","",""
"120",120,"Locale na nowym swiecie","Kilka razy w miesiącu","Pub local na ursynowie","Kilka razy w roku","Płac zbawiciela","Kilka razy w roku","Temat rzeka","Kilka razy w roku","Las kabacki","Kilka razy w roku","","","Temat rzeka","Kilka razy w roku","Ul. Mazowiecka","Kilka razy w roku","Płac zbawiciela","Kilka razy w roku","","","","","","","","","","","","","","","","","","","",""
"121",121,"Być Może","Kilka razy w miesiącu","Pawilony","Kilka razy w roku","Green Caffe Nero","Kilka razy w roku","Las Kabacki","Raz w roku lub rzadziej","Powsin","Raz w roku lub rzadziej","","","Cafe Kulturalna","Kilka razy w roku","Stodoła","Kilka razy w roku","Cud Nad Wisłą","Kilka razy w roku","Krakowskie Przedmieście/Nowy Świat","Kilka razy w roku","Bulwar nadwiślański","Kilka razy w roku","Zagłębie pubowo-restauracyjne przy ul. Parkingowej","Kilka razy w roku","Multikino Imielin/ Kinoteka","Kilka razy w roku","","","","","","","","","","","",""
"122",122,"Góra Kazurka","Kilka razy w miesiącu","Kopa Cwila","Kilka razy w miesiącu","Kebab Adana","Kilka razy w miesiącu","Las Kabacki","Kilka razy w roku","Ursynów","Kilka razy w miesiącu","Pola mokotowskie","Kilka razy w roku","Parking","Kilka razy w roku","Meta Seta Galareta","Kilka razy w roku","Lustra","Raz w roku lub rzadziej","Dom","Przynajmniej kilka razy w tygodniu","","","","","","","","","","","","","","","","","",""
"123",123,"Plan B","Przynajmniej kilka razy w tygodniu","Pho na chmielnej","Kilka razy w miesiącu","Kafka","Kilka razy w roku","Pole Mokotowskie","Kilka razy w miesiącu","Lasy W Wesołej","Kilka razy w miesiącu","Scianka na hozej","Raz w roku lub rzadziej","Plan B","Przynajmniej kilka razy w tygodniu","Ulubiona","Kilka razy w roku","Park","Raz w roku lub rzadziej","","","","","","","","","","","","","","","","","","","",""
"124",124,"Latający Holender","Kilka razy w miesiącu","Rock And Roll","Kilka razy w roku","","","Fort Bema","Kilka razy w miesiącu","","","","","Dekada","Raz w roku lub rzadziej","Park","Raz w roku lub rzadziej","Latający Holender","Kilka razy w miesiącu","","","","","","","","","","","","","","","","","","","",""
"125",125,"Kulturalna","Kilka razy w roku","Kafka ","Kilka razy w roku","Bastylia","Kilka razy w roku","Park Moczydło","Kilka razy w miesiącu","Krakowskie Przedmieście","Kilka razy w roku","Agrykola","Kilka razy w roku","Hydrozagadka","Kilka razy w roku","Klubokawiarnia","Kilka razy w roku","Zwiąż mnie","Raz w roku lub rzadziej","","","","","","","","","","","","","","","","","","","",""
"126",126,"Cafe Paradox","","Me Gusta cafe","Kilka razy w miesiącu","Windigo","Kilka razy w miesiącu","LAs Kabacki","Przynajmniej kilka razy w tygodniu","","","","","Cafe Paradox","Kilka razy w miesiącu","Windigo","Kilka razy w miesiącu","Rock&Roll","Kilka razy w roku","Cafe Paradox","Kilka razy w miesiącu","Windigo","Kilka razy w miesiącu","Me Gusta Cafe","Kilka razy w miesiącu","Rock & Roll","Kilka razy w roku","Cafe Melanż","Kilka razy w miesiącu","Green Cofee","Kilka razy w roku","Plan B","Kilka razy w miesiącu","","","","","",""
